male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
0,2,4,2,0,0,0,137,343,351,0,514
1,3,5,3,1,1,0,154,454,420,0,214
0,3,5,5,0,1,0,0,394,214,0,386
0,3,3,3,1,0,1,231,416,214,1,197
1,3,2,3,0,2,6,133,394,94,0,114
0,2,3,2,0,1,6,0,420,163,0,180
0,2,5,5,0,1,0,0,274,506,0,386
0,3,5,4,0,2,5,39,360,729,0,986
0,3,1,1,0,0,0,116,257,506,0,557
1,2,5,3,0,2,7,9,510,497,0,797
1,3,1,1,1,2,0,137,360,334,0,257
0,2,3,2,1,1,7,13,540,154,0,137
1,3,3,4,0,2,0,60,377,386,0,274
1,2,2,3,1,1,5,373,356,129,2,154
1,3,4,3,1,0,0,429,300,137,6,77
0,2,4,3,0,2,6,77,394,197,2,317
0,3,3,3,0,0,0,21,334,214,0,506
0,2,4,3,0,2,6,60,489,154,0,300
0,3,4,4,1,2,0,0,411,343,0,351
0,2,4,3,1,0,6,69,369,197,0,180
1,3,2,1,1,2,0,317,437,111,6,111
0,3,5,4,1,2,0,214,377,171,0,150
1,3,3,4,0,1,0,0,420,214,0,334
0,2,3,2,0,0,1,214,411,669,0,116
1,2,3,5,0,1,0,26,420,471,0,300
0,2,3,4,1,2,2,39,351,257,0,471
0,3,3,3,0,2,0,9,437,317,0,231
0,3,3,1,1,1,0,120,334,334,0,197
0,2,5,5,0,2,0,77,437,334,0,334
0,3,4,3,0,0,0,10,411,437,0,197
0,3,3,5,1,2,0,137,351,180,0,77
0,2,3,3,0,0,1,30,514,857,0,214
0,2,3,4,0,2,5,60,343,326,0,197
0,3,2,2,0,1,0,9,394,326,0,197
0,3,2,2,1,1,0,60,480,171,0,77
0,3,3,2,1,1,6,60,394,274,0,60
0,2,3,4,1,0,5,60,480,197,0,159
1,2,5,5,1,1,5,0,420,377,0,300
1,3,4,3,0,1,0,0,240,531,0,498
0,3,3,3,1,1,0,30,334,617,0,583
0,3,2,5,1,1,0,30,360,1011,0,129
0,3,3,3,1,2,0,77,317,137,0,137
1,2,4,1,1,2,6,94,317,343,0,231
0,3,5,3,0,2,0,0,471,1097,0,30
0,3,3,4,0,2,1,154,437,180,0,94
1,2,4,3,0,2,0,0,403,463,0,334
1,2,4,4,1,1,0,60,420,506,0,334
1,3,5,3,0,1,0,257,437,686,0,300
0,2,3,4,0,2,0,51,454,274,0,274
0,3,2,3,1,2,0,60,351,420,1,266
1,2,3,3,1,2,0,77,411,926,1,171
1,2,5,5,1,2,5,0,471,334,0,309
1,3,3,3,1,1,3,231,360,180,3,771
0,3,3,1,1,2,7,77,394,120,1,60
1,2,4,4,0,0,0,0,300,300,0,360
0,2,2,4,1,1,6,14,416,189,0,81
1,2,3,3,1,2,2,189,300,420,0,154
0,3,3,2,1,2,0,150,351,369,0,283
0,3,2,3,1,2,0,189,334,77,0,60
0,2,2,3,1,1,6,99,394,377,0,197
1,2,5,5,1,1,6,120,420,120,0,70
0,2,4,3,1,1,0,0,386,669,0,214
1,2,3,4,1,1,6,0,480,300,0,94
1,2,5,3,1,2,0,0,514,300,0,249
0,2,3,3,1,1,6,81,360,120,1,77
0,2,3,3,1,1,1,193,377,77,2,154
0,3,3,3,1,1,0,360,317,60,5,99
0,2,5,5,1,1,1,0,450,1440,0,420
1,2,2,3,1,1,2,146,360,99,1,120
0,3,2,3,1,2,0,369,360,720,1,429
0,3,4,4,1,2,6,47,377,180,1,120
0,2,4,3,0,1,0,99,514,159,0,197
1,2,4,2,1,1,7,0,420,291,0,394
0,2,4,3,1,2,5,39,394,386,1,291
0,3,3,1,1,0,0,150,334,429,0,394
0,3,3,4,0,1,5,69,403,309,0,197
1,2,3,3,1,1,5,94,360,266,0,214
0,2,3,2,0,2,0,0,386,214,0,0
1,2,1,2,1,1,6,43,300,600,0,600
1,2,2,1,1,1,6,103,377,356,3,356
0,3,2,2,1,1,0,116,334,56,0,77
0,2,3,4,1,1,4,154,334,446,0,214
1,2,2,2,1,0,6,60,360,257,0,377
1,3,3,2,1,1,0,231,373,386,1,249
1,2,3,3,0,1,1,60,266,626,0,420
0,2,3,2,0,1,1,39,437,540,0,317
0,3,4,3,0,0,0,0,480,754,0,540
0,2,4,4,1,1,6,30,390,291,0,180
1,3,3,1,1,1,0,120,566,1054,3,514
1,3,3,3,0,0,0,9,437,240,0,137
1,2,4,5,1,1,6,86,399,129,0,223
0,3,1,2,1,1,0,80,437,30,1,30
0,2,3,3,1,2,2,30,433,249,0,214
1,2,3,3,1,0,0,69,360,480,0,257
0,3,2,4,1,2,0,94,309,94,0,120
0,2,3,5,0,2,0,103,403,394,0,154
0,3,3,3,1,2,2,154,411,171,0,94
1,3,4,3,1,1,0,39,437,197,0,197
0,2,5,5,0,2,7,9,467,193,0,154
0,3,5,3,1,2,0,343,300,197,7,137
1,3,4,5,1,1,0,420,253,574,0,231
0,3,3,3,1,2,0,261,300,120,0,60
0,2,4,2,0,1,2,39,317,231,0,116
0,3,4,4,1,2,0,154,394,754,0,386
0,2,5,2,0,1,0,0,394,471,0,137
0,3,3,3,1,2,0,154,300,1440,0,197
1,2,3,1,0,1,0,0,471,300,0,180
0,2,3,2,1,2,4,116,407,137,0,253
0,2,1,2,1,2,6,99,317,94,0,39
1,2,3,4,1,1,6,94,300,94,0,300
0,3,4,3,1,1,0,394,394,39,7,60
0,2,4,4,0,2,6,30,433,180,0,240
1,2,3,2,1,0,5,0,360,274,0,257
0,2,4,4,0,2,1,37,600,154,0,116
0,2,3,3,0,2,1,77,437,257,0,0
0,2,3,5,1,0,6,103,300,137,2,154
1,2,2,2,1,2,6,176,360,394,3,274
0,3,2,4,1,0,0,77,411,754,2,137
0,2,2,5,1,1,5,124,437,137,2,296
1,2,2,4,1,1,6,43,420,154,0,137
1,2,5,5,1,0,6,0,390,471,0,900
1,3,4,3,1,0,1,99,351,377,0,154
1,3,3,3,1,1,6,343,394,497,3,46
1,2,3,3,1,2,6,17,394,94,0,137
1,2,3,3,1,1,6,103,450,120,1,219
0,2,3,1,1,0,6,56,420,171,0,150
1,3,5,5,1,0,0,197,377,180,0,60
0,2,2,5,1,2,6,103,343,94,0,197
1,3,3,2,1,1,0,39,424,270,0,180
0,2,3,2,0,2,4,99,377,249,0,231
0,2,5,5,1,0,6,111,377,94,0,154
0,2,3,2,0,1,0,0,437,574,0,257
1,2,1,5,1,0,6,0,437,463,0,309
0,2,5,5,1,0,6,0,394,429,1,514
1,3,3,3,1,2,0,154,437,77,2,137
0,2,3,2,1,1,6,99,377,129,0,343
1,2,3,1,1,1,6,0,394,214,0,249
0,2,2,3,0,2,6,107,334,77,0,137
0,3,3,2,0,1,0,0,394,274,0,377
1,2,4,4,0,1,2,0,471,214,0,266
0,3,5,4,0,1,0,17,394,300,0,171
0,3,2,2,0,2,2,137,471,429,0,429
0,3,3,2,0,2,6,9,514,549,0,231
0,2,4,3,1,2,0,10,506,1440,2,343
0,2,3,3,1,2,6,154,360,137,3,137
1,3,2,4,1,0,3,197,437,236,2,240
1,2,3,4,1,1,7,94,377,77,0,274
1,2,4,4,1,0,6,77,339,261,0,171
0,3,3,3,1,1,0,39,394,300,0,236
0,3,5,5,1,0,0,193,386,600,3,197
0,2,3,3,1,1,1,60,420,360,0,214
0,2,5,5,1,2,6,60,317,137,3,257
1,3,4,3,1,1,6,107,467,124,0,167
0,3,5,4,0,2,0,0,416,429,0,394
1,3,4,3,0,2,7,39,300,471,1,411
1,2,3,4,0,0,7,6,420,180,0,274
0,3,5,4,1,1,0,484,334,137,7,137
0,2,2,4,1,0,1,39,471,386,0,274
0,3,4,5,1,2,0,231,360,231,0,337
1,2,5,4,1,2,2,0,454,249,0,180
1,2,2,4,1,2,6,94,450,116,0,107
0,2,4,3,0,0,1,0,386,300,0,240
1,3,4,4,1,1,0,30,377,360,0,240
1,2,3,3,1,1,1,39,497,343,0,429
1,2,4,3,0,0,0,0,463,351,0,266
1,3,3,3,1,2,0,399,296,107,4,77
1,2,3,3,1,1,5,30,437,291,0,219
1,2,4,4,1,1,1,77,394,291,0,429
0,3,3,3,1,0,0,377,304,334,7,49
1,2,5,5,0,2,7,0,214,137,0,60
0,2,2,2,1,2,2,77,454,189,0,39
1,3,2,3,0,1,0,10,433,703,0,677
1,3,2,2,1,2,0,240,420,600,2,180
0,3,4,3,1,1,0,309,360,60,1,60
0,2,5,4,1,1,0,0,334,300,0,471
0,2,5,5,1,2,7,0,360,266,0,300
0,2,4,5,0,0,0,120,360,634,0,480
0,3,3,4,0,2,0,0,300,223,0,223
1,2,3,3,0,1,6,39,480,291,0,73
0,2,3,3,1,1,5,39,420,180,0,180
0,2,4,3,1,1,7,17,420,223,0,274
1,2,1,1,1,2,0,249,300,231,3,90
0,3,3,3,1,1,7,386,300,154,7,137
1,2,4,4,1,0,0,60,386,343,0,343
1,2,5,5,0,1,0,0,326,1440,0,609
0,2,2,5,1,2,6,63,347,159,1,107
1,2,5,3,0,0,0,0,471,540,0,77
0,2,3,2,0,1,0,60,360,171,0,193
0,2,2,1,0,2,2,137,489,171,0,137
1,3,3,4,0,1,1,0,411,1183,0,737
0,3,4,3,1,2,0,17,351,840,1,686
0,2,5,3,1,1,2,107,411,343,1,120
0,2,4,3,0,1,0,0,523,489,0,403
1,2,5,5,0,1,3,0,420,600,0,249
1,3,2,1,1,2,5,116,300,90,0,21
0,2,3,1,0,2,7,137,437,133,0,343
0,3,4,3,1,2,0,291,334,377,2,137
0,2,4,2,1,2,2,137,339,94,1,197
0,3,5,5,1,1,0,0,300,154,0,351
0,3,4,4,1,2,0,343,369,77,2,154
1,3,5,2,0,0,0,0,480,420,0,257
1,2,3,3,0,1,3,0,514,300,0,300
1,3,3,4,0,2,0,0,377,291,0,274
0,2,2,2,1,2,6,107,369,326,0,197
1,3,3,4,1,1,0,137,360,154,0,120
0,3,3,3,1,1,0,0,334,471,0,231
0,3,3,3,1,0,0,356,433,146,4,154
1,3,5,4,1,2,0,334,373,56,7,116
1,2,3,3,1,1,3,60,326,583,0,497
0,3,3,3,1,1,1,30,437,429,0,214
0,2,3,4,1,1,6,111,375,129,0,214
0,3,3,3,1,2,0,231,394,1440,2,197
0,2,2,3,1,2,6,137,300,214,0,274
1,2,5,5,0,0,3,0,484,249,0,463
1,2,3,3,1,1,7,0,399,321,0,171
1,2,4,3,1,1,0,60,416,377,2,214
1,3,5,5,1,0,0,394,394,137,6,154
1,2,3,4,1,1,6,99,394,369,0,225
0,2,2,4,0,1,0,0,529,857,0,214
1,2,3,3,1,0,6,56,420,120,0,291
1,3,2,3,1,2,0,420,394,154,0,154
0,2,4,4,1,1,2,60,416,476,0,433
0,2,5,4,0,2,7,39,369,214,0,94
1,2,2,2,1,1,6,120,450,77,5,69
1,2,4,3,1,1,6,69,317,266,0,137
1,2,3,2,0,2,7,30,441,291,0,214
1,2,3,2,1,1,6,60,377,411,0,394
0,3,3,3,1,1,1,39,394,754,0,214
1,2,4,5,1,0,5,60,429,420,2,789
0,3,2,3,1,1,0,270,429,154,2,137
0,3,3,3,1,1,0,261,489,214,0,257
1,2,4,3,0,0,2,274,360,300,0,300
0,2,5,4,1,1,2,36,433,189,0,219
0,3,3,2,1,1,0,60,394,360,0,120
0,2,4,3,0,1,5,9,420,94,0,31
1,3,3,3,0,1,0,30,480,386,0,351
0,2,3,4,1,1,7,116,420,111,0,133
0,2,3,4,0,1,7,77,510,154,0,137
0,3,3,2,1,1,6,116,394,514,0,146
1,3,3,3,1,2,0,326,454,77,0,94
0,3,3,4,1,2,2,0,437,23,0,39
0,2,5,4,0,0,2,0,416,480,0,214
1,3,5,4,1,0,5,0,523,171,0,197
0,2,2,2,1,1,6,116,360,107,0,39
1,2,3,1,1,1,0,0,360,703,1,411
0,3,5,3,0,2,0,0,506,463,0,351
0,2,2,3,1,2,6,39,471,236,0,429
0,3,3,3,1,1,0,387,390,120,7,180
1,2,5,1,1,2,5,0,0,523,0,214
0,2,3,2,1,0,1,39,420,129,0,77
1,2,4,5,0,0,7,0,420,163,0,223
0,3,3,3,1,2,0,429,334,129,7,99
1,3,3,1,1,1,0,274,394,711,0,154
0,2,3,3,1,1,6,116,399,210,0,197
0,2,2,2,1,2,2,163,394,429,1,231
1,2,4,4,1,0,0,17,394,463,0,326
1,2,4,3,1,0,5,116,360,300,0,180
0,3,5,4,0,2,0,39,394,506,0,411
0,3,3,3,1,0,0,459,360,60,0,60
0,2,2,4,0,1,0,39,373,146,0,626
0,3,2,3,1,1,0,429,180,300,2,180
0,2,3,3,1,1,2,120,471,754,2,386
1,2,4,3,0,0,6,39,420,343,0,214
0,3,5,5,0,1,0,1,394,634,0,634
1,2,2,1,1,0,5,274,334,111,0,94
0,3,3,3,0,1,0,214,463,180,0,120
1,2,2,3,1,0,6,60,480,300,0,300
0,2,3,1,1,2,6,30,326,429,0,236
1,2,4,4,1,1,0,39,514,386,0,150
0,3,2,3,1,2,0,214,394,1097,0,120
1,3,3,3,1,1,0,60,377,463,0,463
0,2,3,1,0,2,5,0,360,240,0,240
0,3,2,3,1,0,0,214,343,154,2,154
1,3,4,3,0,1,0,16,429,386,0,429
1,3,2,3,1,1,0,429,334,137,1,137
1,3,3,2,1,1,6,0,437,180,0,180
1,2,3,3,1,1,5,120,360,94,2,120
1,2,3,3,1,1,0,77,480,309,0,154
0,2,5,5,0,1,0,21,386,711,0,506
0,3,2,3,1,1,0,83,360,231,0,240
0,2,3,3,0,2,6,120,300,343,0,120
1,3,2,2,1,1,0,394,407,60,3,99
1,2,5,5,0,2,2,69,227,169,0,413
1,2,3,3,0,2,5,0,463,360,0,231
1,2,3,2,1,1,2,47,463,437,0,94
0,3,5,4,0,0,0,17,386,291,0,171
1,3,2,2,1,1,0,171,360,171,0,274
0,3,3,2,1,2,0,420,347,197,6,300
1,3,3,4,1,1,5,171,351,1440,2,154
0,2,2,3,1,0,7,64,497,180,0,137
1,2,2,5,0,2,6,56,240,180,0,240
1,2,3,3,1,1,6,60,377,60,0,163
0,3,3,1,1,0,0,103,549,334,0,197
0,3,4,5,1,2,0,9,347,39,0,99
1,2,3,2,1,1,0,69,300,1440,0,463
0,3,3,3,1,2,0,60,454,463,1,259
0,2,3,2,1,1,6,34,429,343,0,171
1,3,3,4,1,2,5,137,334,334,0,214
0,2,5,5,0,0,0,0,609,934,0,1440
0,3,3,3,1,0,0,326,433,754,6,240
0,3,4,3,1,2,0,154,437,214,1,189
0,2,4,3,1,0,6,63,437,257,0,120
0,3,4,4,0,1,1,39,429,626,0,506
0,3,2,1,1,1,0,77,394,94,0,99
1,3,3,3,0,1,0,0,497,471,0,10
1,2,3,3,0,2,7,0,360,463,0,300
1,2,3,4,1,0,0,77,416,257,0,197
1,2,4,3,1,0,6,171,416,411,0,250
1,2,3,2,1,1,6,61,471,471,0,197
1,2,4,3,0,0,6,60,480,171,0,214
1,2,3,2,1,0,6,39,420,171,0,116
1,3,3,3,1,0,3,77,394,334,0,274
0,2,3,3,0,2,5,56,300,274,0,214
0,2,3,4,1,2,0,30,317,171,0,137
1,2,5,4,1,0,5,60,420,120,0,120
1,3,3,3,0,1,6,99,480,309,0,120
0,3,4,4,0,0,0,0,360,309,0,266
1,2,4,2,1,1,6,39,429,317,0,257
1,2,4,5,0,1,7,0,420,94,0,77
1,2,5,3,1,0,7,77,437,386,2,236
1,3,3,3,1,0,0,429,360,180,0,197
0,3,4,4,1,1,0,437,334,90,7,90
1,3,3,1,1,2,7,43,360,386,0,180
0,3,3,3,1,0,6,60,334,214,0,291
0,2,5,2,1,0,1,137,330,660,0,223
1,3,3,3,0,1,0,90,454,231,0,154
0,2,3,4,1,2,2,120,317,677,0,720
1,2,4,2,0,1,0,17,377,343,0,249
0,3,3,3,0,2,6,0,420,120,0,180
0,3,3,2,1,1,0,300,394,231,7,197
0,2,4,5,0,2,6,56,317,231,0,154
0,2,3,4,1,1,5,0,514,480,0,1114
1,2,5,5,1,0,6,0,437,326,0,197
0,2,3,3,1,2,3,99,377,249,2,266
0,2,4,3,1,1,1,69,437,437,0,77
0,2,5,3,1,1,4,77,394,429,0,116
0,2,5,4,0,0,0,0,360,1440,0,926
0,2,3,5,1,1,6,116,317,137,0,137
1,2,4,2,1,0,0,39,377,1097,0,549
0,3,3,2,0,0,0,17,433,146,0,351
0,2,4,5,1,0,6,137,369,506,0,214
0,2,5,3,0,1,0,0,441,253,0,77
0,3,5,4,0,2,6,60,471,231,0,77
1,2,4,3,1,1,6,60,420,60,0,420
0,3,3,4,1,2,6,287,433,154,2,94
0,3,5,3,0,1,0,0,610,418,0,214
0,3,5,5,1,2,0,36,351,1140,1,643
0,3,3,5,1,2,7,334,360,257,0,214
1,2,3,3,1,0,1,16,283,343,0,334
1,2,3,2,1,0,6,30,420,171,0,137
1,2,4,5,0,1,6,0,420,600,0,300
0,3,4,3,0,1,0,19,291,694,0,677
1,2,4,3,0,0,6,60,437,171,0,154
0,3,4,4,1,2,0,176,420,137,0,240
1,3,3,3,1,2,0,326,411,77,5,137
1,3,5,5,1,2,0,0,377,309,0,231
0,3,1,4,1,1,1,137,454,274,0,197
1,2,3,3,0,1,6,69,377,463,0,351
1,2,2,2,1,2,1,14,416,334,0,154
0,2,3,3,1,2,6,116,399,84,1,137
0,3,4,3,1,1,0,257,394,154,2,211
0,3,5,4,0,2,0,0,364,377,0,309
1,2,5,3,1,0,6,0,430,171,0,219
1,3,3,3,0,1,0,77,416,703,0,334
1,2,3,4,1,2,6,23,360,257,0,197
0,2,3,2,1,2,0,39,454,386,0,137
0,2,5,3,0,2,2,0,377,214,0,274
0,2,4,3,0,0,5,26,411,343,0,253
1,2,5,5,0,2,0,69,334,300,2,111
0,2,3,3,1,0,5,77,377,154,0,180
1,2,3,1,1,1,0,30,437,334,0,270
0,3,4,5,1,2,0,343,334,17,0,214
1,3,2,1,1,1,0,321,429,94,6,137
1,2,2,2,1,1,6,94,399,274,0,260
0,3,5,4,0,1,0,10,394,1440,0,377
0,2,3,3,1,1,6,77,377,189,6,317
1,3,3,3,1,2,0,30,360,840,0,180
0,2,3,3,1,0,1,0,394,523,0,566
0,2,5,3,1,2,7,30,523,334,0,283
1,2,5,5,1,0,6,30,360,171,2,137
0,2,3,3,1,0,5,69,420,111,0,171
1,3,3,4,0,1,0,0,454,249,0,343
0,2,5,1,0,0,7,0,300,771,0,771
1,2,3,4,0,1,0,69,394,283,0,231
1,3,5,5,0,1,0,17,420,137,0,137
0,2,4,5,0,2,0,0,429,334,0,231
