male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
1,2,5,5,0,0,5,0,360,291,0,463
1,3,5,4,0,1,0,0,420,1440,0,300
0,3,3,3,1,2,0,0,339,291,0,480
0,3,4,1,1,0,0,107,497,463,0,236
0,3,3,3,1,1,0,60,394,17,2,77
0,3,3,5,0,2,0,60,399,154,0,137
0,2,3,3,1,2,2,137,334,223,4,351
0,2,3,2,0,0,0,120,377,1033,0,30
1,2,2,2,1,1,5,137,434,154,0,154
1,2,3,5,1,2,7,137,420,129,0,249
1,3,3,2,1,2,0,60,394,240,0,240
0,2,3,5,0,2,5,39,467,171,0,99
1,2,4,3,0,1,0,30,334,600,0,154
1,2,3,4,1,0,5,86,480,231,0,154
1,2,5,4,0,1,5,0,420,557,0,240
0,3,3,3,1,0,0,394,471,214,0,171
0,3,3,4,0,1,5,291,317,343,0,193
0,3,1,3,1,2,0,22,420,300,0,77
0,2,3,5,0,0,1,9,274,840,0,214
0,2,4,4,1,1,6,30,369,223,0,120
0,2,5,3,0,0,0,0,536,1440,0,300
0,2,3,3,0,1,1,39,416,471,0,497
0,2,2,3,0,2,7,39,480,137,0,77
1,2,3,4,1,2,6,0,411,257,0,231
0,2,4,4,1,1,2,39,424,257,0,154
1,2,4,5,0,1,7,30,420,180,0,351
1,3,1,3,1,2,0,1029,806,446,0,857
1,3,5,5,1,0,0,77,377,840,0,737
0,2,2,3,1,0,6,39,334,180,0,137
0,2,1,3,1,1,0,249,420,146,0,146
0,3,5,3,0,0,0,0,471,274,0,197
0,2,4,4,1,1,5,99,390,249,2,197
1,3,3,3,1,1,0,386,240,214,0,180
0,3,3,2,1,2,0,429,334,111,7,176
1,3,2,4,1,1,0,77,420,369,0,179
0,2,5,5,0,0,7,30,399,231,0,369
1,2,3,5,0,2,0,0,394,386,0,257
1,3,3,2,1,1,0,189,420,669,0,214
1,2,3,3,0,1,0,99,231,1097,0,1029
1,2,3,4,0,1,0,0,437,429,0,334
1,2,3,2,1,1,6,0,386,137,0,240
0,2,2,2,1,1,6,39,399,240,0,236
0,3,4,3,0,1,0,39,437,326,0,274
1,3,2,1,1,2,5,291,450,107,0,56
0,2,3,2,0,2,0,0,454,669,0,429
0,3,3,3,0,0,5,0,373,180,0,206
0,3,2,2,1,2,0,60,416,531,2,309
0,3,4,3,0,1,5,15,450,283,0,229
0,2,5,4,0,2,0,0,484,471,0,266
0,3,4,4,0,1,0,244,394,626,0,236
1,2,5,2,1,1,6,0,360,120,0,180
0,2,5,5,0,2,0,60,527,317,0,291
1,2,4,3,0,1,6,0,377,386,0,291
1,3,3,3,1,0,0,231,420,240,5,120
0,2,3,4,0,2,5,30,463,334,0,171
0,2,5,3,0,2,6,39,437,369,0,257
0,3,5,4,0,1,0,0,351,351,0,514
1,3,3,3,1,1,0,214,394,351,7,137
0,3,3,4,0,0,0,30,437,386,0,274
1,2,5,5,0,1,6,26,450,429,0,214
1,2,5,4,1,2,3,17,454,711,2,420
1,2,3,2,1,1,2,77,489,1440,2,394
1,3,2,3,1,1,0,176,476,137,1,189
0,2,3,4,1,0,0,77,416,686,0,420
1,3,5,5,1,1,0,214,351,617,6,257
0,2,3,2,1,0,6,69,450,420,0,159
1,2,1,1,1,2,0,171,291,754,0,266
0,2,3,3,1,1,0,39,454,180,0,154
0,2,4,3,1,1,5,30,403,309,0,171
